Salinity,Generation,Chemical,Gene,ddCT
6,0,Control,17bHSD,-0.269833333
6,0,Control,arx,0.357833333
6,0,Control,atp1,0.870055556
6,0,Control,atp2,-0.070944444
6,0,Control,cyp1a1,-0.043388889
6,0,Control,dnmt3,1.499722222
6,0,Control,esr,-1.987611111
6,0,Control,igf2,0.292611111
6,0,Control,rps6,-0.276722222
6,0,Control,17bHSD,-0.130833333
6,0,Control,arx,0.622833333
6,0,Control,atp1,0.734055556
6,0,Control,atp2,-0.210944444
6,0,Control,cyp1a1,0.162611111
6,0,Control,dnmt3,1.712722222
6,0,Control,esr,-1.843611111
6,0,Control,igf2,0.472611111
6,0,Control,rps6,-0.185722222
6,0,Control,17bHSD,-0.032833333
6,0,Control,arx,0.169833333
6,0,Control,atp1,0.744055556
6,0,Control,atp2,-0.337944444
6,0,Control,cyp1a1,0.139611111
6,0,Control,dnmt3,1.877722222
6,0,Control,esr,-1.097611111
6,0,Control,igf2,0.344611111
6,0,Control,rps6,-0.144722222
6,0,Control,17bHSD,0.585166667
6,0,Control,arx,0.367833333
6,0,Control,atp1,-0.162944444
6,0,Control,atp2,0.459055556
6,0,Control,cyp1a1,0.938611111
6,0,Control,dnmt3,2.733722222
6,0,Control,esr,-2.425611111
6,0,Control,igf2,0.085611111
6,0,Control,rps6,0.903277778
6,0,Control,17bHSD,-0.270833333
6,0,Control,arx,-0.980166667
6,0,Control,atp1,-0.835944444
6,0,Control,atp2,-0.145944444
6,0,Control,cyp1a1,0.061611111
6,0,Control,dnmt3,2.177722222
6,0,Control,esr,-3.086611111
6,0,Control,igf2,0.179611111
6,0,Control,rps6,0.320277778
6,0,Control,17bHSD,1.473666667
6,0,Control,arx,0.609333333
6,0,Control,atp1,0.676555556
6,0,Control,atp2,1.130555556
6,0,Control,cyp1a1,1.382111111
6,0,Control,dnmt3,3.247222222
6,0,Control,esr,-0.847111111
6,0,Control,igf2,1.012111111
6,0,Control,rps6,1.507777778
6,0,Control,17bHSD,-0.716833333
6,0,Control,arx,-0.162166667
6,0,Control,atp1,-0.495944444
6,0,Control,atp2,-0.092944444
6,0,Control,cyp1a1,-0.807388889
6,0,Control,dnmt3,-3.805277778
6,0,Control,esr,4.050388889
6,0,Control,igf2,-0.732388889
6,0,Control,rps6,-0.646722222
6,0,Control,17bHSD,-0.187833333
6,0,Control,arx,-0.176166667
6,0,Control,atp1,-0.549944444
6,0,Control,atp2,-0.097944444
6,0,Control,cyp1a1,-0.586388889
6,0,Control,dnmt3,-5.130277778
6,0,Control,esr,3.890388889
6,0,Control,igf2,-0.511388889
6,0,Control,rps6,-0.537722222
6,0,Control,17bHSD,-0.449833333
6,0,Control,arx,-0.809166667
6,0,Control,atp1,-0.979944444
6,0,Control,atp2,-0.632944444
6,0,Control,cyp1a1,-1.247388889
6,0,Control,dnmt3,-4.313277778
6,0,Control,esr,3.347388889
6,0,Control,igf2,-1.143388889
6,0,Control,rps6,-0.939722222
6,0,Bifenthrin,17bHSD,0.162166667
6,0,Bifenthrin,arx,1.899833333
6,0,Bifenthrin,atp1,2.002055556
6,0,Bifenthrin,atp2,1.784055556
6,0,Bifenthrin,cyp1a1,0.185611111
6,0,Bifenthrin,dnmt3,1.930722222
6,0,Bifenthrin,esr,-2.517611111
