Chemical,Salinity,Replicate,Pseudoreplicate,Generation,Absorbance 650,Plate,Protein,Absorbance 412,Plate,Cysteine,Cysteine_extinction,nM/min/mg protein,,
Control,6 PSU,A,1,F0,0.588,1,0.170009191,0.242,1,0.109424709,1.71025E-05,0.100597347,,
Bifenthrin,6 PSU,A,1,F0,0.588,1,0.170009191,0.244,1,0.109608138,1.72438E-05,0.10142873,,14150 = 0.75/(1*C)
Cyfluthrin,6 PSU,A,1,F0,0.737,1,0.204774135,0.249,1,0.110068057,1.75972E-05,0.08593455,,14150 * (C) = 0.75
Cyhalothrin,6 PSU,A,1,F0,0.741,1,0.205799493,0.288,1,0.113722291,2.03534E-05,0.098898965,,-5.30035E-05
Control,6 PSU,A,2,F0,0.579,1,0.168109285,0.211,1,0.106620496,1.49117E-05,0.088702184,,
Bifenthrin,6 PSU,A,2,F0,0.583,1,0.168951052,0.231,1,0.108421322,1.63251E-05,0.096626142,,
Cyfluthrin,6 PSU,A,2,F0,0.741,1,0.205799493,0.245,1,0.109699968,1.73145E-05,0.0841328,,
Cyhalothrin,6 PSU,A,2,F0,0.725,1,0.201728612,0.249,1,0.110068057,1.75972E-05,0.087231915,,
Control,6 PSU,A,3,F0,0.568,1,0.165815987,0.251,1,0.110252564,1.77385E-05,0.106977115,,
Bifenthrin,6 PSU,A,3,F0,0.576,1,0.167480713,0.206,1,0.106174983,1.45583E-05,0.086925256,,
Cyfluthrin,6 PSU,A,3,F0,0.757,1,0.209952524,0.242,1,0.109424709,1.71025E-05,0.081458766,,
Cyhalothrin,6 PSU,A,3,F0,0.748,1,0.207606239,0.25,1,0.110160272,1.76678E-05,0.085102667,,
Control,6 PSU,B,1,F0,0.987,1,0.27980154,0.318,1,0.116615586,2.24735E-05,0.080319423,,
Bifenthrin,6 PSU,B,1,F0,0.298,1,0.118360121,0.202,1,0.105819913,1.42756E-05,0.120611725,,
Cyfluthrin,6 PSU,B,1,F0,0.839,1,0.232589283,0.265,1,0.111552806,1.87279E-05,0.080519252,,
Cyhalothrin,6 PSU,B,1,F0,0.408,1,0.135787065,0.248,1,0.109975919,1.75265E-05,0.129073427,,
Control,6 PSU,B,2,F0,0.968,1,0.273241336,0.299,1,0.114774735,2.11307E-05,0.077333621,,
Bifenthrin,6 PSU,B,2,F0,0.277,1,0.115296759,0.225,1,0.107877904,1.59011E-05,0.137914198,,
Cyfluthrin,6 PSU,B,2,F0,0.873,1,0.242676599,0.277,1,0.112679497,1.9576E-05,0.080666911,,
Cyhalothrin,6 PSU,B,2,F0,0.404,1,0.135110531,0.195,1,0.105201395,1.37809E-05,0.101997369,,
Control,6 PSU,B,3,F0,1.042,1,0.299693001,0.282,1,0.113152304,1.99293E-05,0.066499146,,
Bifenthrin,6 PSU,B,3,F0,0.297,1,0.118212418,0.171,1,0.10310808,1.20848E-05,0.102229579,,
Cyfluthrin,6 PSU,B,3,F0,0.875,1,0.243283413,0.246,1,0.109791875,1.73852E-05,0.071460519,,
Cyhalothrin,6 PSU,B,3,F0,0.454,1,0.143815005,0.217,1,0.107157581,1.53357E-05,0.106634833,,
Control,6 PSU,C,1,F0,0.559,2,0.164759741,0.248,2,0.110257464,1.75265E-05,0.106376119,,
Bifenthrin,6 PSU,C,1,F0,0.556,2,0.164109,0.237,2,0.109226244,1.67491E-05,0.102060926,,
Cyfluthrin,6 PSU,C,1,F0,0.625,2,0.179747352,0.25,2,0.110446002,1.76678E-05,0.098292656,,
Cyhalothrin,6 PSU,C,1,F0,0.601,2,0.174145758,0.25,2,0.110446002,1.76678E-05,0.101454349,,
Control,6 PSU,C,2,F0,0.553,2,0.16346083,0.234,2,0.10894668,1.65371E-05,0.101168595,,
Bifenthrin,6 PSU,C,2,F0,0.576,2,0.168496312,0.209,2,0.106644632,1.47703E-05,0.087659592,,
Cyfluthrin,6 PSU,C,2,F0,0.604,2,0.174836297,0.216,2,0.107284258,1.5265E-05,0.087310346,,
Cyhalothrin,6 PSU,C,2,F0,0.573,2,0.167830814,0.217,2,0.107375945,1.53357E-05,0.091375885,,
Control,6 PSU,C,3,F0,0.578,2,0.168941443,0.265,2,0.111870351,1.87279E-05,0.110854476,,
Bifenthrin,6 PSU,C,3,F0,0.584,2,0.170283905,0.241,2,0.109600113,1.70318E-05,0.100020035,,
Cyfluthrin,6 PSU,C,3,F0,0.61,2,0.176225601,0.221,2,0.10774348,1.56184E-05,0.08862716,,
Cyhalothrin,6 PSU,C,3,F0,0.574,2,0.168052354,0.281,2,0.113409908,1.98587E-05,0.118169468,,
Control,10 PSU,A,1,F0,0.753,1,0.208906475,0.213,1,0.106799225,1.5053E-05,0.072056185,,
Bifenthrin,10 PSU,A,1,F0,0.855,1,0.237282932,0.249,1,0.110068057,1.75972E-05,0.074161142,,
Cyfluthrin,10 PSU,A,1,F0,0.828,1,0.229416368,0.235,1,0.108785121,1.66078E-05,0.072391408,,
Cyhalothrin,10 PSU,A,1,F0,0.652,1,0.18415334,0.263,1,0.111366123,1.85866E-05,0.100929869,,
Control,10 PSU,A,2,F0,0.75,1,0.208125359,0.231,1,0.108421322,1.63251E-05,0.078438728,,
Bifenthrin,10 PSU,A,2,F0,0.852,1,0.236395715,0.249,1,0.110068057,1.75972E-05,0.074439476,,
Cyfluthrin,10 PSU,A,2,F0,0.852,1,0.236395715,0.235,1,0.108785121,1.66078E-05,0.070254124,,
Cyhalothrin,10 PSU,A,2,F0,0.647,1,0.183007168,0.263,1,0.111366123,1.85866E-05,0.101561992,,
Control,10 PSU,A,3,F0,0.746,1,0.207088413,0.263,1,0.111366123,1.85866E-05,0.089751871,,
Bifenthrin,10 PSU,A,3,F0,0.872,1,0.24237376,0.26,1,0.111086683,1.83746E-05,0.07581084,,
Cyfluthrin,10 PSU,A,3,F0,0.816,1,0.226004351,0.237,1,0.108967478,1.67491E-05,0.074109709,,
Cyhalothrin,10 PSU,A,3,F0,0.629,1,0.178939698,0.235,1,0.108785121,1.66078E-05,0.092812126,,
