generation,salinity,chemical,replicate,pseudo,length,width,index
0,6,CTL,A,1,3822.8,495.54,0.518509993
0,6,CTL,A,1,3687.02,496.89,0.539069492
0,6,CTL,A,1,3940.52,471.99,0.479114432
0,6,CTL,A,2,3772.84,526.88,0.558603068
0,6,CTL,A,2,3418,516.43,0.604365126
0,6,CTL,A,2,3807,519.77,0.546120305
0,6,CTL,A,3,4065.19,553.96,0.545076614
0,6,CTL,A,3,3843.68,534.15,0.555873538
0,6,CTL,A,3,4120.69,513.83,0.498780544
0,6,BIF,A,1,3425.77,503.84,0.588294019
0,6,BIF,A,1,3151.47,499.26,0.633685233
0,6,BIF,A,1,3554.31,481.33,0.541686009
0,6,BIF,A,2,3718.71,499.34,0.537110987
0,6,BIF,A,2,3510.29,487.57,0.555589424
0,6,BIF,A,2,3776.54,443.17,0.469392619
0,6,BIF,A,3,367.29,458.36,4.991804841
0,6,BIF,A,3,3502.7,498.9,0.569731921
0,6,BIF,A,3,3786.88,520.12,0.549391584
0,6,CYF,A,1,3883.79,242.86,0.250126809
0,6,CYF,A,1,3750.21,294.82,0.314457057
0,6,CYF,A,1,3740.51,272.36,0.291254401
0,6,CYF,A,2,3752.32,424.01,0.451997697
0,6,CYF,A,2,3512.26,502.26,0.572007767
0,6,CYF,A,2,3723.99,497.84,0.534738278
0,6,CYF,A,3,3829.68,458.94,0.479350755
0,6,CYF,A,3,3575.24,501.89,0.561517548
0,6,CYF,A,3,3917.7,514.11,0.524910024
0,6,CYH,A,1,3719.66,440.89,0.474118602
0,6,CYH,A,1,3438.04,450.63,0.524287094
0,6,CYH,A,1,3760.92,485.86,0.516745903
0,6,CYH,A,2,4036.6,419.05,0.415250458
0,6,CYH,A,2,3811.05,473.96,0.497458706
0,6,CYH,A,2,4114.43,486.19,0.472668146
0,6,CYH,A,3,2925.02,384.58,0.525917772
0,6,CYH,A,3,2757.75,409.14,0.593440305
0,6,CYH,A,3,2983.85,477.31,0.639857902
0,6,CTL,B,1,3613.48,533.38,0.590433599
0,6,CTL,B,1,3348.48,531.09,0.634425172
0,6,CTL,B,1,3706.77,526.33,0.567966181
0,6,CTL,B,2,4316.78,471.71,0.437094316
0,6,CTL,B,2,4118.56,470.41,0.45686842
0,6,CTL,B,2,4393.54,442.709,0.403054485
0,6,CTL,B,3,3898.91,277.38,0.284571842
0,6,CTL,B,3,3779.66,292.86,0.309932639
0,6,CTL,B,3,3718.38,314.84,0.338685126
0,6,BIF,B,1,4048.06,364.18,0.359856326
0,6,BIF,B,1,3841.09,375.93,0.391482626
